"","curveID","J_ref","J_ref_SE","J_ref_var","E","E_SE","E_var","E_D","E_D_SE","E_D_var","T_opt","T_opt_SE","T_opt_var","Topt_ED_cov","Topt_ED_cor","Amax","AIC","r_sq","breadth_90"
"23",31,7.66614703918606,0.0186297584558001,0.000347067900121455,0.105332313570468,0.0029440257302481,8.66728750036285e-06,9.68210117784152,0.167871305529823,0.0281807752202872,35.467759319104,0.0556191341782939,0.00309348808674305,0.00871241654601988,0.933120948173151,8.71362143205374,198.748480103634,0.983291552646843,6.4
"24",32,9.75598072850286,0.00996235244831746,9.9248466304497e-05,0.0367854045300888,0.00156899653516774,2.46175012736839e-06,3.88244715845149,0.04675736239186,0.00218625093784372,31.6169729158198,0.0657358686484942,0.00432120442697209,0.0016224359942775,0.527855635043151,9.96856379266861,-435.614263018848,0.993765819785607,17.2
"25",33,8.03850410177778,0.00829687854911608,6.88381936587825e-05,0.0208382478844669,0.00136165806258274,1.85411267939657e-06,4.68679102316479,0.0903276816990535,0.00815909008112553,34.8142923898742,0.0958839897042119,0.00919373948159742,0.0051612731654777,0.595922639025554,8.21224268921114,-537.148648590172,0.984707772052873,25.2
"26",34,12.198115620453,0.0131104809285843,0.000171884710178771,0.0965203684348164,0.00196288562676748,3.85291998377037e-06,3.30010021008526,0.0436903627173368,0.00190884779437245,33.7827141305734,0.0540261601668298,0.00291882598237194,0.00213310341607599,0.903695582222382,13.1847571169168,-272.678301381378,0.991194993077429,10.1
"27",35,11.4982590360687,0.00812451503759246,6.6007744596066e-05,0.150669530647888,0.00157233181717653,2.47222734330563e-06,2.7385054691093,0.0252954184859831,0.000639858196381014,34.5892915320924,0.0324779107703471,0.00105481468800663,0.000778709229422529,0.947862559548774,13.0434172467069,-682.831521005513,0.995227785807383,8.59999999999999
"28",36,14.2222560169791,0.015413879427592,0.000237587679008344,0.00577828690813275,0.00173054739854466,2.99479429860969e-06,3.79937651417372,0.0555726743438458,0.00308832213372714,29.7664528969975,0.515034890395081,0.265260938324273,-0.0143428169440425,-0.501113967340685,14.2509535846938,-165.87680598078,0.99270006539047,22.4
"29",37,10.2239883664985,0.0753399033248841,0.00567610103300287,1.73710594429763e-05,0.0158010990242543,0.00024967473037429,2.78649590780582,0.182559920391902,0.0333281245334977,10.150895830532,2256.94219439606,5093788.06884531,-302.016356008492,-0.733001038013266,10.2235624316339,806.914116812776,0.919345937290238,17.8
"30",38,8.60933548832352,0.0128376444904768,0.000164805116063868,0.0594278473698745,0.00178581826274731,3.18914686756183e-06,3.7342204189193,0.0648170059010937,0.00420124425398242,32.1973241495886,0.082000185204129,0.00672403037351146,0.00474457083754717,0.892674514701176,8.94691079370366,-304.535062666105,0.984209060768874,12.7
"31",39,7.47979044670687,0.00348455719025763,1.21421388121762e-05,0.118776918440472,0.000630373204070668,3.97370376410319e-07,4.19912306368215,0.0323193658056091,0.00104454140607678,35.1590176649723,0.0254784183792445,0.000649149803107826,0.000797437219148226,0.968414329083921,8.46377513615091,-1297.9054695433,0.995489214526168,8.2
"32",40,7.23223848645201,0.00941507312064009,8.86436018669995e-05,0.0747077471082896,0.00161049977143952,2.59370951380674e-06,3.11811566147303,0.106319598898673,0.0113038571099746,34.1107250974055,0.108910102765113,0.0118614104843075,0.011173841720055,0.964986011522577,7.69437960824263,-591.226132423687,0.939368814222097,12
"33",41,11.0847365580175,0.0123618542222875,0.000152815439813087,0.0662047949616136,0.00158750666600489,2.52017741460997e-06,2.2671425391688,0.0314999241217845,0.000992245219678179,30.6857614922672,0.0589325637265916,0.00347304706738878,0.00156834940578774,0.84484683526276,11.2924900431227,-626.750950424268,0.991989501399635,14.4
"34",42,10.5164418120705,0.00835954213653256,6.98819447324634e-05,0.0880559094852983,0.00150847885820076,2.27550846563866e-06,3.2788983154335,0.0272714576036598,0.000743732399828216,32.4370290421503,0.0365133011713796,0.00133322116243187,0.000824273146040496,0.827773847280003,11.123956862602,-607.377614305895,0.996970989679962,10.6
"35",43,14.6855610049147,0.015113191989015,0.000228408572096827,0.0412622151253378,0.00153639480590145,2.36050899960097e-06,2.5130561559315,0.0335835591578867,0.00112785544571127,29.4528316905462,0.0670825825761468,0.00450007288508555,0.00124194243085201,0.551270776492657,14.7897510770262,-379.259303126759,0.994419900898498,18.1
"36",44,7.36409412466163,0.0305973682183523,0.000936198941889438,0.0508175581848703,0.00611682576185748,3.74155574009233e-05,3.98458122674339,0.145637049814018,0.0212101502785307,34.2169539192406,0.210017295686285,0.0441072644873806,0.0197234991790584,0.644847516562755,7.71428086856553,510.882051076962,0.940911129082257,13.9
"37",45,16.5290355408452,0.0335269880179125,0.00112405892555325,7.62419806606886e-05,0.00442531170323727,1.95833836708088e-05,2.71546165637456,0.0503974865898895,0.0025399066545781,11.3745928325775,148.765398053117,22131.1436579024,-5.73190236663705,-0.764518462441181,16.5262235194114,262.598684456124,0.992906251601447,17.1
